Year,GeoAreaName,Location,Nature,Reporting Type,Units,Value
2014,Montenegro,ALLAREA,E,G,PERCENT,85
2014,Montenegro,URBAN,E,G,PERCENT,87
2015,Montenegro,ALLAREA,E,G,PERCENT,85
2015,Montenegro,URBAN,E,G,PERCENT,87
2016,Montenegro,ALLAREA,E,G,PERCENT,85
2016,Montenegro,URBAN,E,G,PERCENT,87
2017,Montenegro,ALLAREA,E,G,PERCENT,85
2017,Montenegro,URBAN,E,G,PERCENT,87
2018,Montenegro,ALLAREA,E,G,PERCENT,85
2018,Montenegro,URBAN,E,G,PERCENT,87
2019,Montenegro,URBAN,E,G,PERCENT,87
2019,Montenegro,ALLAREA,E,G,PERCENT,85
2020,Montenegro,ALLAREA,E,G,PERCENT,85
2020,Montenegro,URBAN,E,G,PERCENT,87
2018,Uzbekistan,URBAN,E,G,PERCENT,86
2019,Uzbekistan,ALLAREA,E,G,PERCENT,59
2019,Uzbekistan,RURAL,E,G,PERCENT,31
2019,Uzbekistan,URBAN,E,G,PERCENT,86
2020,Uzbekistan,RURAL,E,G,PERCENT,31
2020,Uzbekistan,URBAN,E,G,PERCENT,86
2020,Uzbekistan,ALLAREA,E,G,PERCENT,59
2013,Cyprus,ALLAREA,E,G,PERCENT,99
2014,Cyprus,ALLAREA,E,G,PERCENT,99
2015,Cyprus,ALLAREA,E,G,PERCENT,99
2016,Cyprus,ALLAREA,E,G,PERCENT,99
2017,Cyprus,ALLAREA,E,G,PERCENT,100
2018,Cyprus,ALLAREA,E,G,PERCENT,100
2019,Cyprus,ALLAREA,E,G,PERCENT,100
2020,Cyprus,ALLAREA,E,G,PERCENT,100
2020,Cyprus,ALLAREA,E,G,PERCENT,100
